Year,Month,Date,State,State_Clean,Station,Station_Clean,Monitored,Available,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Coal Stock,Outage,Daily_Capacity_Factor,Zero_Gen_Flag,Zero_Gen_Check_Count,Capacity_Category,
2023,July-2026 ,7/15/2023,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 2,SIMHADRI UNIT 2,500,500,8.84,7.67,21.00,0.00,63.92,OK,0,Low Capacity,
2018,February-2018 ,2/17/2018,West Bengal,West Bengal,FARAKKA STPSUnit 1,FARAKKA STPS UNIT 1,200,200,3.93,4.18,0.00,0.00,87.08,OK,0,Low Capacity,
2018,August-2018 ,8/12/2018,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 3,UNCHAHAR TPS UNIT 3,210,210,3.84,2.66,0.00,0.00,52.78,OK,0,Low Capacity,
2017,December-2017 ,12/3/2017,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 5,RIHAND STPS UNIT 5,500,500,10.00,11.20,0.00,0.00,93.33,OK,0,Low Capacity,
2018,December-2018 ,12/21/2018,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 5,SIPAT STPS UNIT 5,500,500,11.26,12.05,0.00,0.00,100.42,OK,0,Low Capacity,
2021,November-2021 ,11/10/2021,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 1,RIHAND STPS UNIT 1,500,500,10.23,10.50,9.00,0.00,87.50,OK,0,Low Capacity,
2019,September-2019 ,9/26/2019,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 3,KORBA STPS UNIT 3,200,200,3.83,4.16,1.00,0.00,86.67,OK,0,Low Capacity,
2023,Jul-23,06-Jul-23,Jharkhand,,NORTH KARANPURA TPP_Unit 2,NORTH KARANPURA TPP UNIT 2,0,0,0,0,47,0,0,,,,
2018,May-2018 ,5/10/2018,Telangana,Telangana,RAMAGUNDEM STPSUnit 3,RAMAGUNDEM STPS UNIT 3,200,200,4.06,4.56,0.00,0.00,95.00,OK,0,Low Capacity,
2021,December-2021 ,12/13/2021,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 6,KORBA STPS UNIT 6,500,500,10.35,12.01,7.00,0.00,100.08,OK,0,Low Capacity,
2020,June-2020 ,6/30/2020,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 12,VINDHYACHAL STPS UNIT 12,500,500,0.00,11.93,14.00,0.00,99.42,OK,0,Low Capacity,
2021,March-2021 ,3/25/2021,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 1,RIHAND STPS UNIT 1,500,500,9.13,11.93,16.00,0.00,99.42,OK,0,Low Capacity,
2019,June-2019 ,6/14/2019,Karnataka,Karnataka,KUDGI STPPUnit 1,KUDGI STPP UNIT 1,800,0,4.67,0.00,17.00,800.00,0.00,OK,0,Low Capacity,
2021,May-2021 ,5/25/2021,Gujarat,Gujarat,KAWAS CCPP,KAWAS CCPP,656,318,3.10,0.00,0.00,338.20,0.00,Check,1,Low Capacity,
2023,January-2023 ,1/28/2023,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 1,UNCHAHAR TPS UNIT 1,210,210,3.03,3.87,15.00,0.00,76.79,OK,0,Low Capacity,
2022,June-2022 ,6/13/2022,Maharashtra,Maharashtra,MAUDA TPSUnit 2,MAUDA TPS UNIT 2,500,500,6.73,11.55,4.00,0.00,96.25,OK,0,Low Capacity,
2021,March-2021 ,3/1/2021,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 3,SIPAT STPS UNIT 3,660,660,12.94,15.85,14.00,0.00,100.06,OK,0,High Capacity,
2018,February-2018 ,2/7/2018,West Bengal,West Bengal,FARAKKA STPSUnit 2,FARAKKA STPS UNIT 2,200,200,3.54,4.48,0.00,0.00,93.33,OK,0,Low Capacity,
2024,September-2024 ,9/8/2024,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 5,SINGRAULI STPS UNIT 5,200,200,4.67,3.92,7.00,0.00,81.67,OK,0,Low Capacity,
2018,October-2018 ,10/22/2018,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 4,SINGRAULI STPS UNIT 4,200,200,4.03,5.01,0.00,0.00,104.38,OK,0,Low Capacity,
2021,February-2021 ,2/7/2021,Odisha,Odisha,TALCHER STPSUnit 2,TALCHER STPS UNIT 2,500,500,11.36,11.79,22.00,0.00,98.25,OK,0,Low Capacity,
2023,November-2023 ,11/11/2023,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 1,DADRI (NCTPP) UNIT 1,210,210,4.20,3.09,6.00,0.00,61.31,OK,0,Low Capacity,
2024,June-2024 ,6/24/2024,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 6,RIHAND STPS UNIT 6,500,500,11.67,11.71,21.00,0.00,97.58,OK,0,Low Capacity,
2017,Nov-2017,17-Nov-2017,Bihar,,BARH I_Unit 1,BARH I UNIT 1,0,0,0,0,0,0,0,,,,
2023,September-2023 ,9/20/2023,Odisha,Odisha,TALCHER STPSUnit 6,TALCHER STPS UNIT 6,500,500,11.60,11.80,15.00,0.00,98.33,OK,0,Low Capacity,
2019,December-2019 ,12/1/2019,Himachal Pradesh,Himachal Pradesh,KOLDAM,KOLDAM,800,800,2.42,3.48,0.00,0.00,18.13,OK,0,High Capacity,
2018,February-2018 ,2/15/2018,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 2,RIHAND STPS UNIT 2,500,500,10.00,11.25,0.00,0.00,93.75,OK,0,Low Capacity,
2019,August-2019 ,8/31/2019,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 5,SIPAT STPS UNIT 5,500,500,10.71,7.22,0.00,0.00,60.17,OK,0,Low Capacity,
2018,February-2018 ,2/27/2018,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 4,TANDA TPS UNIT 4,110,110,2.11,2.56,0.00,0.00,96.97,OK,0,Low Capacity,
2019,February-2019 ,2/15/2019,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 4,SIMHADRI UNIT 4,500,500,8.71,10.19,0.00,0.00,84.92,OK,0,Low Capacity,
2017,November-2017 ,11/22/2017,Delhi,Delhi,BADARPUR TPSUnit 2,BADARPUR TPS UNIT 2,95,0,0.00,0.00,0.00,95.00,0.00,OK,0,Low Capacity,
2019,July-2019 ,7/23/2019,Odisha,Odisha,TALCHER (OLD) TPSUnit 2,TALCHER (OLD) TPS UNIT 2,60,60,1.27,1.39,10.00,0.00,96.53,OK,0,Low Capacity,
2018,January-2018 ,1/5/2018,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 4,SIPAT STPS UNIT 4,500,500,10.06,12.13,0.00,0.00,101.08,OK,0,Low Capacity,
2022,June-2022 ,6/20/2022,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 5,KORBA STPS UNIT 5,500,500,10.67,11.98,18.00,0.00,99.83,OK,0,Low Capacity,
2025,August-2025 ,8/7/2025,Himachal Pradesh,Himachal Pradesh,KOLDAM,KOLDAM,800,800,19.19,20.96,0.00,0.00,109.17,OK,0,High Capacity,
2018,March-2018 ,3/15/2018,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 3,SIPAT STPS UNIT 3,660,660,13.35,15.71,0.00,0.00,99.18,OK,0,High Capacity,
