Year,Month,Date,State,State_Clean,Station,Station_Clean,Monitored,Available,Power generation report for NTPC Station under (Dated) program,Power generation under todays actual,Coal Stock,Outage,Daily_Capacity_Factor,Zero_Gen_Flag,Zero_Gen_Check_Count,Capacity_Category,
2026,January-2026 ,1/22/2026,Telangana,Telangana,RAMAGUNDEM STPSUnit 2,RAMAGUNDEM STPS UNIT 2,200,200,3.81,3.51,21.00,0.00,73.13,OK,0,Low Capacity,
2022,July-2022 ,7/10/2022,Bihar,Bihar,BARAUNI TPSUnit 8,BARAUNI TPS UNIT 8,250,250,2.81,5.76,11.00,0.00,96.00,OK,0,Low Capacity,
2017,September-2017 ,9/22/2017,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 6,SINGRAULI STPS UNIT 6,500,500,10.93,10.53,0.00,0.00,87.75,OK,0,Low Capacity,
2021,May-2021 ,5/13/2021,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 5,DADRI (NCTPP) UNIT 5,490,490,2.84,6.62,15.00,0.00,56.29,OK,0,Low Capacity,
2022,September-2022 ,9/13/2022,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 3,UNCHAHAR TPS UNIT 3,210,210,3.07,3.70,3.00,0.00,73.41,OK,0,Low Capacity,
2018,September-2018 ,9/4/2018,Maharashtra,Maharashtra,MAUDA TPSUnit 3,MAUDA TPS UNIT 3,660,660,4.87,10.98,"1,517.45",0.00,69.32,OK,0,High Capacity,
2023,Jul-23,31-Jul-23,Telangana,,TELANGANA STPP_Unit 2,TELANGANA STPP UNIT 2,0,0,9.68,0,0,0,0,,,,
2019,December-2019 ,12/17/2019,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 6,DADRI (NCTPP) UNIT 6,490,490,0.00,7.33,34.00,0.00,62.33,OK,0,Low Capacity,
2020,January-2020 ,1/8/2020,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 3,VINDHYACHAL STPS UNIT 3,210,210,4.29,4.49,11.00,0.00,89.09,OK,0,Low Capacity,
2024,May-2024 ,5/1/2024,Telangana,Telangana,TELANGANA STPP PH-1Unit 2,TELANGANA STPP PH-1 UNIT 2,800,800,12.06,15.40,10.00,0.00,80.21,OK,0,High Capacity,
2025,August-2025 ,8/2/2025,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 3,SINGRAULI STPS UNIT 3,200,0,4.48,2.82,22.00,200.00,58.75,OK,0,Low Capacity,
2021,September-2021 ,9/7/2021,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 5,RIHAND STPS UNIT 5,500,500,11.43,11.66,7.00,0.00,97.17,OK,0,Low Capacity,
2021,January-2021 ,1/28/2021,Odisha,Odisha,TALCHER (OLD) TPSUnit 2,TALCHER (OLD) TPS UNIT 2,60,60,1.06,1.43,17.00,0.00,99.31,OK,0,Low Capacity,
2020,June-2020 ,6/15/2020,Uttar Pradesh,Uttar Pradesh,AURAIYA CCPP,AURAIYA CCPP,663,334,0.77,10.59,0.00,329.79,66.52,OK,0,Low Capacity,
2024,January-2024 ,1/13/2024,Bihar,Bihar,BARAUNI TPSUnit 8,BARAUNI TPS UNIT 8,250,0,4.77,0.00,18.00,250.00,0.00,OK,0,Low Capacity,
2021,June-2021 ,6/7/2021,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 3,RIHAND STPS UNIT 3,500,500,10.23,12.04,14.00,0.00,100.33,OK,0,Low Capacity,
2024,April-2024 ,4/28/2024,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 5,SIPAT STPS UNIT 5,500,500,11.23,11.77,18.00,0.00,98.08,OK,0,Low Capacity,
2025,July-2025 ,7/5/2025,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 6,SINGRAULI STPS UNIT 6,500,500,11.29,9.99,13.00,0.00,83.25,OK,0,Low Capacity,
2017,November-2017 ,11/15/2017,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 2,VINDHYACHAL STPS UNIT 2,210,210,3.63,5.01,0.00,0.00,99.40,OK,0,Low Capacity,
2023,February-2023 ,2/5/2023,Bihar,Bihar,BARAUNI TPSUnit 7,BARAUNI TPS UNIT 7,105,0,1.14,0.00,10.00,105.00,0.00,OK,0,Low Capacity,
2019,October-2019 ,10/5/2019,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 7,KORBA STPS UNIT 7,500,500,10.39,11.87,1.00,0.00,98.92,OK,0,Low Capacity,
2023,July-2026 ,7/3/2023,Assam,Assam,BONGAIGAON TPPUnit 1,BONGAIGAON TPP UNIT 1,250,250,5.74,5.16,13.00,0.00,86.00,OK,0,Low Capacity,
2023,September-2023 ,9/16/2023,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 1,DADRI (NCTPP) UNIT 1,210,210,4.03,3.38,9.00,0.00,67.06,OK,0,Low Capacity,
2021,July-2021 ,7/22/2021,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 3,DADRI (NCTPP) UNIT 3,210,0,1.26,0.00,9.00,210.00,0.00,OK,0,Low Capacity,
2021,February-2021 ,2/19/2021,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 3,SINGRAULI STPS UNIT 3,200,200,4.64,4.89,15.00,0.00,101.88,OK,0,Low Capacity,
2018,July-2018 ,7/2/2018,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 4,TANDA TPS UNIT 4,110,0,0.00,0.00,0.00,110.00,0.00,OK,0,Low Capacity,
2025,May-2025 ,5/20/2025,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 6,KORBA STPS UNIT 6,500,500,11.52,10.65,11.00,0.00,88.75,OK,0,Low Capacity,
2020,July-2020 ,7/25/2020,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 1,KORBA STPS UNIT 1,200,200,4.10,4.88,14.00,0.00,101.67,OK,0,Low Capacity,
2017,September-2017 ,9/10/2017,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 4,SIPAT STPS UNIT 4,500,500,10.07,11.96,0.00,0.00,99.67,OK,0,Low Capacity,
2024,November-2024 ,11/18/2024,Haryana,Haryana,FARIDABAD CCPP,FARIDABAD CCPP,432,0,0.39,0.00,0.00,431.59,0.00,OK,0,Low Capacity,
2020,June-2020 ,6/21/2020,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 1,SINGRAULI STPS UNIT 1,200,200,4.77,4.46,15.00,0.00,92.92,OK,0,Low Capacity,
2019,February-2019 ,2/3/2019,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 4,KORBA STPS UNIT 4,500,500,10.29,11.71,0.00,0.00,97.58,OK,0,Low Capacity,
2025,February-2025 ,2/16/2025,Madhya Pradesh,Madhya Pradesh,KHARGONE STPPUnit 1,KHARGONE STPP UNIT 1,660,660,12.36,10.74,20.00,0.00,67.80,OK,0,High Capacity,
2019,Jul-2019,14-Jul-2019,Odisha,,DARLIPALI STPS_Unit 2,DARLIPALI STPS UNIT 2,0,0,0,0,0,0,0,,,,
2025,April-2025 ,4/9/2025,Bihar,Bihar,KAHALGAON TPSUnit 3,KAHALGAON TPS UNIT 3,210,210,4.50,4.51,22.00,0.00,89.48,OK,0,Low Capacity,
2020,Jan-2020,31-Jan-2020,Madhya Pradesh,,KHARGONE STPP_Unit 2,KHARGONE STPP UNIT 2,0,0,0,0,0,0,0,,,,
2022,Feb-2022,03-Feb-2022,Jharkhand,,NORTH KARANPURA TPP_Unit 1,NORTH KARANPURA TPP UNIT 1,0,0,2.64,0,0,0,0,,,,
2023,January-2023 ,1/10/2023,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 4,TANDA TPS UNIT 4,110,110,1.87,2.24,10.00,0.00,84.85,OK,0,Low Capacity,
2022,November-2022 ,11/25/2022,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 1,SIMHADRI UNIT 1,500,500,5.97,9.30,28.00,0.00,77.50,OK,0,Low Capacity,
2020,December-2020 ,12/9/2020,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 2,UNCHAHAR TPS UNIT 2,210,0,3.16,0.00,24.00,210.00,0.00,OK,0,Low Capacity,
2023,March-2023 ,3/10/2023,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 2,SIPAT STPS UNIT 2,660,660,16.87,15.44,17.00,0.00,97.47,OK,0,High Capacity,
2019,September-2019 ,9/11/2019,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 1,TANDA TPS UNIT 1,110,0,0.00,0.00,39.00,110.00,0.00,OK,0,Low Capacity,
2018,April-2018 ,4/30/2018,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 7,KORBA STPS UNIT 7,500,500,9.67,11.82,0.00,0.00,98.50,OK,0,Low Capacity,
2018,March-2018 ,3/1/2018,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 12,VINDHYACHAL STPS UNIT 12,500,500,9.32,12.18,0.00,0.00,101.50,OK,0,Low Capacity,
2018,November-2018 ,11/22/2018,Telangana,Telangana,RAMAGUNDEM STPSUnit 2,RAMAGUNDEM STPS UNIT 2,200,200,4.13,4.45,0.00,0.00,92.71,OK,0,Low Capacity,
2025,August-2025 ,8/30/2025,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 6,SINGRAULI STPS UNIT 6,500,0,11.29,0.00,22.00,500.00,0.00,OK,0,Low Capacity,
2022,March-2022 ,3/18/2022,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 4,VINDHYACHAL STPS UNIT 4,210,210,4.32,5.09,25.00,0.00,100.99,OK,0,Low Capacity,
2024,May-2024 ,5/29/2024,Telangana,Telangana,RAMAGUNDEM STPSUnit 2,RAMAGUNDEM STPS UNIT 2,200,200,4.42,3.42,18.00,0.00,71.25,OK,0,Low Capacity,
2024,January-2024 ,1/16/2024,Madhya Pradesh,Madhya Pradesh,KHARGONE STPPUnit 1,KHARGONE STPP UNIT 1,660,660,12.58,12.88,27.00,0.00,81.31,OK,0,High Capacity,
2025,December-2025 ,12/10/2025,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 4,TANDA TPS UNIT 4,110,0,1.52,0.00,26.00,110.00,0.00,OK,0,Low Capacity,
2021,January-2021 ,1/23/2021,Odisha,Odisha,TALCHER (OLD) TPSUnit 3,TALCHER (OLD) TPS UNIT 3,60,60,1.16,1.44,21.00,0.00,100.00,OK,0,Low Capacity,
2021,May-2021 ,5/29/2021,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 1,SIPAT STPS UNIT 1,660,660,15.45,15.79,9.00,0.00,99.68,OK,0,High Capacity,
2018,February-2018 ,2/3/2018,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 2,TANDA TPS UNIT 2,110,110,2.11,2.48,0.00,0.00,93.94,OK,0,Low Capacity,
2025,March-2025 ,3/20/2025,Bihar,Bihar,KAHALGAON TPSUnit 2,KAHALGAON TPS UNIT 2,210,210,4.77,4.48,19.00,0.00,88.89,OK,0,Low Capacity,
2025,June-2025 ,6/25/2025,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 2,SINGRAULI STPS UNIT 2,200,200,4.47,4.31,17.00,0.00,89.79,OK,0,Low Capacity,
2022,February-2022 ,2/10/2022,Madhya Pradesh,Madhya Pradesh,GADARWARA TPPUnit 1,GADARWARA TPP UNIT 1,800,800,11.82,13.62,11.00,0.00,70.94,OK,0,High Capacity,
2025,March-2025 ,3/6/2025,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 3,SIMHADRI UNIT 3,500,500,9.61,10.81,10.00,0.00,90.08,OK,0,Low Capacity,
2022,August-2022 ,8/11/2022,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 7,VINDHYACHAL STPS UNIT 7,500,500,10.23,10.03,16.00,0.00,83.58,OK,0,Low Capacity,
2019,April-2019 ,4/14/2019,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 6,VINDHYACHAL STPS UNIT 6,210,210,4.37,5.04,20.00,0.00,100.00,OK,0,Low Capacity,
2022,February-2022 ,2/20/2022,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 2,UNCHAHAR TPS UNIT 2,210,0,2.50,0.00,19.00,210.00,0.00,OK,0,Low Capacity,
2022,January-2022 ,1/10/2022,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 10,VINDHYACHAL STPS UNIT 10,500,500,10.29,10.61,18.00,0.00,88.42,OK,0,Low Capacity,
2021,March-2021 ,3/8/2021,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 2,DADRI (NCTPP) UNIT 2,210,0,2.35,0.00,16.00,210.00,0.00,OK,0,Low Capacity,
2024,October-2024 ,10/14/2024,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 4,TANDA TPS UNIT 4,110,0,1.77,0.00,18.00,110.00,0.00,OK,0,Low Capacity,
2024,April-2024 ,4/19/2024,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 2,VINDHYACHAL STPS UNIT 2,210,210,4.93,4.46,11.00,0.00,88.49,OK,0,Low Capacity,
2021,November-2021 ,11/12/2021,Telangana,Telangana,RAMAGUNDEM STPSUnit 2,RAMAGUNDEM STPS UNIT 2,200,200,0.00,4.20,7.00,0.00,87.50,OK,0,Low Capacity,
2018,March-2018 ,3/14/2018,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 4,SIPAT STPS UNIT 4,500,500,10.13,10.20,0.00,0.00,85.00,OK,0,Low Capacity,
2019,Sep-2019,10-Sep-2019,Uttar Pradesh,,TANDA TPS_Unit 6,TANDA TPS UNIT 6,0,0,0,0,38,0,0,,,,
2022,May-2022 ,5/22/2022,Gujarat,Gujarat,GANDHAR CCPP,GANDHAR CCPP,657,0,1.29,0.76,0.00,657.39,4.82,OK,0,Low Capacity,
2024,March-2024 ,3/13/2024,Maharashtra,Maharashtra,SOLAPUR STPSUnit 2,SOLAPUR STPS UNIT 2,660,660,10.94,12.26,45.00,0.00,77.40,OK,0,High Capacity,
2020,February-2020 ,2/1/2020,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 4,VINDHYACHAL STPS UNIT 4,210,210,4.26,4.59,11.00,0.00,91.07,OK,0,Low Capacity,
2018,December-2018 ,12/17/2018,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 2,SINGRAULI STPS UNIT 2,200,200,4.03,4.72,0.00,0.00,98.33,OK,0,Low Capacity,
2020,December-2020 ,12/8/2020,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 5,TANDA TPS UNIT 5,660,660,6.90,12.14,60.00,0.00,76.64,OK,0,High Capacity,
2022,July-2022 ,7/23/2022,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 6,RIHAND STPS UNIT 6,500,500,10.97,11.46,23.00,0.00,95.50,OK,0,Low Capacity,
2021,April-2021 ,4/16/2021,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 1,SINGRAULI STPS UNIT 1,200,200,4.74,4.91,18.00,0.00,102.29,OK,0,Low Capacity,
2022,July-2022 ,7/6/2022,Madhya Pradesh,Madhya Pradesh,GADARWARA TPPUnit 1,GADARWARA TPP UNIT 1,800,800,10.90,14.13,16.00,0.00,73.59,OK,0,High Capacity,
2018,October-2018 ,10/14/2018,Odisha,Odisha,TALCHER (OLD) TPSUnit 6,TALCHER (OLD) TPS UNIT 6,110,0,2.03,0.00,0.00,110.00,0.00,OK,0,Low Capacity,
2021,March-2021 ,3/5/2021,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 4,SIMHADRI UNIT 4,500,500,7.87,11.29,10.00,0.00,94.08,OK,0,Low Capacity,
2018,January-2018 ,1/5/2018,Karnataka,Karnataka,KUDGI STPPUnit 2,KUDGI STPP UNIT 2,800,800,5.55,12.87,0.00,0.00,67.03,OK,0,High Capacity,
2020,September-2020 ,9/14/2020,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 4,VINDHYACHAL STPS UNIT 4,210,210,4.03,4.65,6.00,0.00,92.26,OK,0,Low Capacity,
2022,February-2022 ,2/10/2022,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 2,RIHAND STPS UNIT 2,500,500,11.29,11.62,29.00,0.00,96.83,OK,0,Low Capacity,
2021,September-2021 ,9/1/2021,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 2,VINDHYACHAL STPS UNIT 2,210,210,4.77,4.58,5.00,0.00,90.87,OK,0,Low Capacity,
2022,January-2022 ,1/13/2022,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 13,VINDHYACHAL STPS UNIT 13,500,500,11.71,10.93,19.00,0.00,91.08,OK,0,Low Capacity,
2025,April-2025 ,4/29/2025,Odisha,Odisha,TALCHER STPSUnit 1,TALCHER STPS UNIT 1,500,500,11.43,10.57,13.00,0.00,88.08,OK,0,Low Capacity,
2018,November-2018 ,11/20/2018,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 4,SIMHADRI UNIT 4,500,500,8.70,9.23,0.00,0.00,76.92,OK,0,Low Capacity,
2019,November-2019 ,11/15/2019,West Bengal,West Bengal,FARAKKA STPSUnit 3,FARAKKA STPS UNIT 3,200,200,4.07,4.21,2.00,0.00,87.71,OK,0,Low Capacity,
2020,January-2020 ,1/30/2020,Bihar,Bihar,BARAUNI TPSUnit 6,BARAUNI TPS UNIT 6,105,0,1.71,0.00,0.00,105.00,0.00,OK,0,Low Capacity,
2024,October-2024 ,10/7/2024,Odisha,Odisha,DARLIPALI STPSUnit 2,DARLIPALI STPS UNIT 2,800,800,18.61,19.11,16.00,0.00,99.53,OK,0,High Capacity,
2022,May-2022 ,5/6/2022,West Bengal,West Bengal,FARAKKA STPSUnit 4,FARAKKA STPS UNIT 4,500,500,8.42,11.68,9.00,0.00,97.33,OK,0,Low Capacity,
2022,February-2022 ,2/9/2022,West Bengal,West Bengal,FARAKKA STPSUnit 1,FARAKKA STPS UNIT 1,200,200,2.82,4.41,5.00,0.00,91.88,OK,0,Low Capacity,
2023,August-2026 ,8/14/2023,Bihar,Bihar,KAHALGAON TPSUnit 6,KAHALGAON TPS UNIT 6,500,500,11.00,11.78,9.00,0.00,98.17,OK,0,Low Capacity,
2019,March-2019 ,3/11/2019,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 1,TANDA TPS UNIT 1,110,0,1.97,0.00,0.00,110.00,0.00,OK,0,Low Capacity,
2019,June-2019 ,6/27/2019,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 4,SIMHADRI UNIT 4,500,500,8.13,8.44,31.00,0.00,70.33,OK,0,Low Capacity,
2024,April-2024 ,4/11/2024,Maharashtra,Maharashtra,SOLAPUR STPSUnit 2,SOLAPUR STPS UNIT 2,660,660,11.83,8.99,30.00,0.00,56.76,OK,0,High Capacity,
2024,January-2024 ,1/23/2024,Chhattisgarh,Chhattisgarh,SIPAT STPSUnit 5,SIPAT STPS UNIT 5,500,500,12.26,11.90,9.00,0.00,99.17,OK,0,Low Capacity,
2020,October-2020 ,10/1/2020,Bihar,Bihar,BARAUNI TPSUnit 8,BARAUNI TPS UNIT 8,250,250,2.26,4.98,10.00,0.00,83.00,OK,0,Low Capacity,
2021,December-2021 ,12/30/2021,Bihar,Bihar,BARAUNI TPSUnit 7,BARAUNI TPS UNIT 7,105,0,0.55,0.00,10.00,105.00,0.00,OK,0,Low Capacity,
2025,April-2025 ,4/23/2025,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 7,SINGRAULI STPS UNIT 7,500,500,11.30,10.64,20.00,0.00,88.67,OK,0,Low Capacity,
2020,January-2020 ,1/8/2020,Telangana,Telangana,RAMAGUNDEM STPSUnit 4,RAMAGUNDEM STPS UNIT 4,500,500,9.74,10.01,22.00,0.00,83.42,OK,0,Low Capacity,
2021,September-2021 ,9/14/2021,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 4,KORBA STPS UNIT 4,500,500,11.30,11.59,10.00,0.00,96.58,OK,0,Low Capacity,
2021,December-2021 ,12/16/2021,Madhya Pradesh,Madhya Pradesh,KHARGONE STPPUnit 1,KHARGONE STPP UNIT 1,660,660,3.55,11.24,6.00,0.00,70.96,OK,0,High Capacity,
2019,June-2019 ,6/16/2019,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 13,VINDHYACHAL STPS UNIT 13,500,500,9.90,10.46,14.00,0.00,87.17,OK,0,Low Capacity,
2017,September-2017 ,9/18/2017,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 5,VINDHYACHAL STPS UNIT 5,210,210,3.83,4.58,0.00,0.00,90.87,OK,0,Low Capacity,
2018,November-2018 ,11/3/2018,Maharashtra,Maharashtra,MAUDA TPSUnit 2,MAUDA TPS UNIT 2,500,500,6.03,11.54,0.00,0.00,96.17,OK,0,Low Capacity,
2023,December-2023 ,12/30/2023,Gujarat,Gujarat,KAWAS CCPP,KAWAS CCPP,656,0,1.17,2.47,0.00,656.20,15.68,OK,0,Low Capacity,
2022,July-2022 ,7/2/2022,Maharashtra,Maharashtra,MAUDA TPSUnit 4,MAUDA TPS UNIT 4,660,660,9.19,10.33,7.00,0.00,65.21,OK,0,High Capacity,
2018,January-2018 ,1/31/2018,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 1,DADRI (NCTPP) UNIT 1,210,210,3.23,3.51,0.00,0.00,69.64,OK,0,Low Capacity,
2021,September-2021 ,9/28/2021,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 1,VINDHYACHAL STPS UNIT 1,210,210,4.30,5.04,4.00,0.00,100.00,OK,0,Low Capacity,
2023,March-2023 ,3/6/2023,Odisha,Odisha,TALCHER STPSUnit 3,TALCHER STPS UNIT 3,500,500,10.39,11.52,15.00,0.00,96.00,OK,0,Low Capacity,
2024,December-2024 ,12/21/2024,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 3,SIMHADRI UNIT 3,500,500,9.45,9.93,23.00,0.00,82.75,OK,0,Low Capacity,
2021,July-2021 ,7/16/2021,Chhattisgarh,Chhattisgarh,KORBA STPSUnit 1,KORBA STPS UNIT 1,200,200,4.13,4.92,11.00,0.00,102.50,OK,0,Low Capacity,
2018,January-2018 ,1/3/2018,Maharashtra,Maharashtra,MAUDA TPSUnit 4,MAUDA TPS UNIT 4,660,660,5.55,9.81,0.00,0.00,61.93,OK,0,High Capacity,
2021,August-2021 ,8/29/2021,Uttar Pradesh,Uttar Pradesh,UNCHAHAR TPSUnit 4,UNCHAHAR TPS UNIT 4,210,0,2.26,0.00,2.00,210.00,0.00,OK,0,Low Capacity,
2024,March-2024 ,3/4/2024,Uttar Pradesh,Uttar Pradesh,SINGRAULI STPSUnit 1,SINGRAULI STPS UNIT 1,200,0,4.65,0.00,19.00,200.00,0.00,OK,0,Low Capacity,
2019,January-2019 ,1/21/2019,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 12,VINDHYACHAL STPS UNIT 12,500,500,9.48,11.59,0.00,0.00,96.58,OK,0,Low Capacity,
2020,August-2020 ,8/29/2020,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 4,RIHAND STPS UNIT 4,500,500,9.06,11.89,3.00,0.00,99.08,OK,0,Low Capacity,
2018,September-2018 ,9/4/2018,Andhra Pradesh,Andhra Pradesh,SIMHADRIUnit 4,SIMHADRI UNIT 4,500,0,8.70,0.00,0.00,500.00,0.00,OK,0,Low Capacity,
2021,December-2021 ,12/3/2021,Telangana,Telangana,RAMAGUNDEM STPSUnit 6,RAMAGUNDEM STPS UNIT 6,500,500,8.39,9.66,7.00,0.00,80.50,OK,0,Low Capacity,
2020,March-2020 ,3/9/2020,Uttar Pradesh,Uttar Pradesh,DADRI (NCTPP)Unit 6,DADRI (NCTPP) UNIT 6,490,490,9.06,6.70,49.00,0.00,56.97,OK,0,Low Capacity,
2019,July-2019 ,7/10/2019,Bihar,Bihar,BARAUNI TPSUnit 6,BARAUNI TPS UNIT 6,105,0,1.71,0.00,0.00,105.00,0.00,OK,0,Low Capacity,
2021,October-2021 ,10/20/2021,Telangana,Telangana,RAMAGUNDEM STPSUnit 7,RAMAGUNDEM STPS UNIT 7,500,500,9.35,11.54,3.00,0.00,96.17,OK,0,Low Capacity,
2019,September-2019 ,9/2/2019,Bihar,Bihar,KAHALGAON TPSUnit 4,KAHALGAON TPS UNIT 4,210,210,4.07,4.69,5.00,0.00,93.06,OK,0,Low Capacity,
2018,October-2018 ,10/15/2018,Maharashtra,Maharashtra,MAUDA TPSUnit 3,MAUDA TPS UNIT 3,660,660,4.87,14.53,0.00,0.00,91.73,OK,0,High Capacity,
2019,February-2019 ,2/9/2019,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 10,VINDHYACHAL STPS UNIT 10,500,500,9.82,10.48,0.00,0.00,87.33,OK,0,Low Capacity,
2019,July-2019 ,7/16/2019,Karnataka,Karnataka,KUDGI STPPUnit 1,KUDGI STPP UNIT 1,800,0,4.65,0.00,25.00,800.00,0.00,OK,0,Low Capacity,
2024,September-2024 ,9/6/2024,Bihar,Bihar,KAHALGAON TPSUnit 7,KAHALGAON TPS UNIT 7,500,500,10.87,10.31,20.00,0.00,85.92,OK,0,Low Capacity,
2024,June-2024 ,6/2/2024,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 11,VINDHYACHAL STPS UNIT 11,500,500,11.63,11.86,18.00,0.00,98.83,OK,0,Low Capacity,
2021,June-2021 ,6/6/2021,Uttar Pradesh,Uttar Pradesh,RIHAND STPSUnit 4,RIHAND STPS UNIT 4,500,0,10.23,0.00,14.00,500.00,0.00,OK,0,Low Capacity,
2025,June-2025 ,6/21/2025,Maharashtra,Maharashtra,MAUDA TPSUnit 4,MAUDA TPS UNIT 4,660,660,12.93,12.40,27.00,0.00,78.28,OK,0,High Capacity,
2021,May-2021 ,5/26/2021,Uttar Pradesh,Uttar Pradesh,TANDA TPSUnit 2,TANDA TPS UNIT 2,110,0,2.48,0.00,22.00,110.00,0.00,OK,0,Low Capacity,
2022,March-2022 ,3/20/2022,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 10,VINDHYACHAL STPS UNIT 10,500,500,10.29,11.48,25.00,0.00,95.67,OK,0,Low Capacity,
2019,September-2019 ,9/30/2019,West Bengal,West Bengal,FARAKKA STPSUnit 1,FARAKKA STPS UNIT 1,200,200,4.00,3.27,3.00,0.00,68.13,OK,0,Low Capacity,
2024,April-2024 ,4/4/2024,Telangana,Telangana,RAMAGUNDEM STPSUnit 6,RAMAGUNDEM STPS UNIT 6,500,500,10.97,10.61,17.00,0.00,88.42,OK,0,Low Capacity,
2022,October-2022 ,10/2/2022,Haryana,Haryana,FARIDABAD CCPP,FARIDABAD CCPP,432,0,0.99,0.00,0.00,431.59,0.00,OK,0,Low Capacity,
2024,January-2024 ,1/31/2024,Bihar,Bihar,KAHALGAON TPSUnit 4,KAHALGAON TPS UNIT 4,210,210,4.85,4.99,11.00,0.00,99.01,OK,0,Low Capacity,
2017,Dec-2017,27-Dec-2017,Chhattisgarh,,LARA TPP_Unit 2,LARA TPP UNIT 2,0,0,0,0,0,0,0,,,,
2019,April-2019 ,4/27/2019,Bihar,Bihar,BARAUNI TPSUnit 7,BARAUNI TPS UNIT 7,105,0,1.70,0.00,0.00,105.00,0.00,OK,0,Low Capacity,
2023,January-2023 ,1/21/2023,Madhya Pradesh,Madhya Pradesh,VINDHYACHAL STPSUnit 9,VINDHYACHAL STPS UNIT 9,500,500,10.23,11.31,20.00,0.00,94.25,OK,0,Low Capacity,
