PIVOT TABLE 1 — National Performance Overview,,,,,,,
"Summarizing annual generation, capacity utilization, and outage trends.",,,,,,,
Year,Total Generation (MU),Avg Capacity Factor (%),Avg Available Capacity (MW),,,,
2017,1564.74,6807.84%,28883.09%,,,,
2018,5543.58,7196.21%,31000.00%,,,,
2019,4968.05,6079.76%,27403.44%,,,,
2020,4313.07,5878.70%,27818.02%,,,,
2021,5836.51,6008.15%,31873.71%,,,,
2022,6924.76,6917.11%,34858.47%,,,,
2023,6523.28,6781.99%,33438.95%,,,,
2024,7144.83,6996.40%,36197.01%,,,,
2025,6299.94,6635.42%,35924.38%,,,,
2026,501.84,7471.06%,38281.55%,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
PIVOT TABLE 2 — Station Efficiency Ranking,,,,,,,
,,,,,,,
Station,Total Monitored Capacity,Total Generation,Total Available,Total Outage,Capacity Factor %,Availability %,Outage %
TANDA TPS UNIT 2,6710,66.84,3630,3080,1.00%,54.10%,45.90%
BARAUNI TPS UNIT 9,10250,102.04,4500,5750,1.00%,43.90%,56.10%
KUDGI STPP UNIT 2,45600,391.23,22400,23200,0.86%,49.12%,50.88%
SOLAPUR UNIT 1,15180,96.72,5940,9240,0.64%,39.13%,60.87%
BADARPUR TPS UNIT 4,840,3.82,210,630,0.45%,25.00%,75.00%
KAWAS CCPP,41340.6,179.41,11387.6,29953,0.43%,27.55%,72.45%
SOLAPUR UNIT 2,11880,50.21,3300,8580,0.42%,27.78%,72.22%
AURAIYA CCPP,39801.6,137.62,4102.69,35698.91,0.35%,10.31%,89.69%
GANDHAR CCPP,38128.62,121,13035.66,25092.96,0.32%,34.19%,65.81%
DADRI CCPP,38169.88,116.05,7127.54,31042.34,0.30%,18.67%,81.33%
FARIDABAD CCPP,23737.45,63.09,7098.13,16639.32,0.27%,29.90%,70.10%
ANTA CCPP,26837.12,53.11,1153.23,25683.89,0.20%,4.30%,95.70%
BARAUNI TPS UNIT 6,3570,6.48,420,3150,0.18%,11.76%,88.24%
BARAUNI TPS UNIT 7,5355,3.06,210,5145,0.06%,3.92%,96.08%
R. GANDHI CCPP (LIQ.),21934.38,3.7,6832.02,15102.36,0.02%,31.15%,68.85%
BADARPUR TPS UNIT 3,950,0,0,950,0.00%,0.00%,100.00%
BADARPUR TPS UNIT 2,380,0,0,380,0.00%,0.00%,100.00%
BADARPUR TPS UNIT 1,760,0,0,760,0.00%,0.00%,100.00%
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Pivot 3 ,,,,,,,
,,,,,,,
Station_Clean,SUM of Outage,SUM of Monitored,Structural Outage %,Zero Days,COUNTA of Date,,
AURAIYA CCPP,"35,698.91","39,802",0.8969214805,5,60,,
DADRI CCPP,"31,042.34","38,170",0.8132679484,7,46,,
KAWAS CCPP,"29,953.00","41,341",0.7245419757,9,63,,
ANTA CCPP,"25,683.89","26,837",0.9570285485,1,64,,
GANDHAR CCPP,"25,092.96","38,129",0.6581135116,4,58,,
KUDGI STPP UNIT 2,"23,200.00","45,600",0.5087719298,0,57,,
LARA TPP UNIT 1,"18,400.00","40,800",0.4509803922,0,51,,
KUDGI STPP UNIT 1,"17,600.00","52,800",0.3333333333,0,66,,
FARIDABAD CCPP,"16,639.32","23,737",0.7009733564,18,55,,
R. GANDHI CCPP (LIQ.),"15,102.36","21,934",0.6885245902,18,61,,
MAUDA TPS UNIT 4,"13,860.00","40,920",0.3387096774,0,62,,
GADARWARA TPP UNIT 2,"12,800.00","35,200",0.3636363636,0,44,,
KUDGI STPP UNIT 3,"9,600.00","36,800",0.2608695652,0,46,,
SOLAPUR UNIT 1,"9,240.00","15,180",0.6086956522,0,23,,
GADARWARA TPP UNIT 1,"8,800.00","40,800",0.2156862745,0,51,,
SOLAPUR UNIT 2,"8,580.00","11,880",0.7222222222,0,18,,
MAUDA TPS UNIT 3,"8,580.00","29,700",0.2888888889,0,45,,
SOLAPUR STPS UNIT 1,"7,920.00","27,060",0.2926829268,0,41,,
KOLDAM,"7,600.00","41,600",0.1826923077,0,52,,
UNCHAHAR TPS UNIT 6,"7,000.00","35,500",0.1971830986,1,71,,
BARH STPS UNIT 1,"6,600.00","17,160",0.3846153846,0,26,,
SINGRAULI STPS UNIT 6,"6,500.00","34,000",0.1911764706,0,68,,
DARLIPALI STPS UNIT 1,"6,400.00","33,600",0.1904761905,0,42,,
BARAUNI TPS UNIT 9,"5,750.00","10,250",0.5609756098,0,41,,
LARA TPP UNIT 2,"5,600.00","39,200",0.1428571429,0,49,,
SIPAT STPS UNIT 2,"5,280.00","32,340",0.1632653061,0,49,,
KHARGONE STPP UNIT 1,"5,280.00","29,040",0.1818181818,1,44,,
BARAUNI TPS UNIT 7,"5,145.00","5,355",0.9607843137,0,51,,
TALCHER STPS UNIT 1,"5,000.00","27,000",0.1851851852,0,54,,
SIMHADRI UNIT 4,"5,000.00","32,000",0.15625,0,64,,
DADRI (NCTPP) UNIT 3,"4,620.00","12,810",0.3606557377,0,61,,
RIHAND STPS UNIT 4,"4,500.00","38,000",0.1184210526,0,76,,
MAUDA TPS UNIT 1,"4,500.00","26,500",0.1698113208,0,53,,
FARAKKA STPS UNIT 6,"4,500.00","35,000",0.1285714286,0,70,,
DADRI (NCTPP) UNIT 6,"4,410.00","26,460",0.1666666667,0,54,,
VINDHYACHAL STPS UNIT 11,"4,000.00","34,500",0.115942029,0,69,,
KAHALGAON TPS UNIT 7,"4,000.00","34,000",0.1176470588,0,68,,
SOLAPUR STPS UNIT 2,"3,960.00","22,440",0.1764705882,0,34,,
BARH STPS UNIT 2,"3,960.00","16,500",0.24,0,25,,
BARH II UNIT 4,"3,960.00","23,760",0.1666666667,0,36,,
BARAUNI TPS UNIT 8,"3,750.00","14,250",0.2631578947,0,57,,
VINDHYACHAL STPS UNIT 7,"3,500.00","34,500",0.1014492754,0,69,,
TALCHER STPS UNIT 4,"3,500.00","32,500",0.1076923077,0,65,,
RAMAGUNDEM STPS UNIT 6,"3,500.00","27,500",0.1272727273,0,55,,
MAUDA TPS UNIT 2,"3,500.00","33,000",0.1060606061,0,66,,
KAHALGAON TPS UNIT 6,"3,500.00","31,500",0.1111111111,0,63,,
FARAKKA STPS UNIT 5,"3,500.00","30,000",0.1166666667,0,60,,
DADRI (NCTPP) UNIT 5,"3,430.00","27,440",0.125,0,56,,
DADRI (NCTPP) UNIT 4,"3,360.00","13,020",0.2580645161,0,62,,
SIPAT STPS UNIT 3,"3,300.00","41,580",0.07936507937,0,63,,
